AAB	Abelag Aviation - Belgium	ABG
AAC	Army Air Corps - United Kingdom	ARMYAIR
AAD	Aero Aviation Centre Ltd. - Canada	SUNRISE
AAD	Mann Air Ltd - United Kingdom	Ambassador
AAF	Aigle Azur - France	AIGLE AZUR
AAG	Air Atlantique - United Kingdom	ATLANTIC
AAG	Atlantic Flight Training - United Kingdom	ATLANTIC
AAH	Aloha Air Cargo - United States	ALOHA
AAH	Aloha Airlines - United States	ALOHA
AAI	Air Aurora - United States	BOREALIS
AAJ	Air Alma - Canada	AIR ALMA
AAJ	Alfa Airlines - Sudan	ALFA SUDAN
AAK	Alaska Island Air - United States	ALASKA ISLAND
AAL	American Airlines - United States	AMERICAN
AAM	Aviation Management Corporation - United States	AM CORP
AAN	Amsterdam Airlines - Netherlands	AMSTEL
AAN	Oasis International Airlines - Spain	OASIS
AAO	Atlantis Airlines (USA) - United States	ATLANTIS AIR
AAP	Arabasco Air Services - Saudi Arabia	ARABASCO
AAQ	Copterline - Finland	COPTERLINE
AAR	Asiana Airlines - Republic of Korea	ASIANA
AAS	Askari Aviation - Pakistan	AL-ASS
AAU	Australia Asia Airlines - Australia	AUSTASIA
AAV	Astro Air International - United States	ASTRO-PHIL
AAW	Afriqiyah Airways - Libya	AFRIQIYAH
AAX	Advance Aviation - Thailand	ADVANCE AVIATION
AAY	Allegiant Air - United States	ALLEGIANT
ABA	Aero-Beta - Germany	AEROBETA
ABB	African Business and Transportations - Democratic Republic of the Congo	AFRICAN BUSINESS
ABD	Air Atlanta Icelandic - Iceland	ATLANTA
ABE	Aban Air - Iran	ABAN
ABF	Aerial Oy - Finland	SKYWINGS
ABG	Abakan-Avia - Russia	ABAKAN-AVIA
ABI	Antigua and Barbuda Airways - Antigua and Barbuda	Anair
ABL	Air Busan - Republic of Korea	AIR BUSAN
ABO	APSA Colombia - Colombia	AEROEXPRESO
ABP	ABS Jets - Czech Republic	BAIR
ABQ	Airblue - Pakistan	PAKBLUE
ABR	Air Contractors - Ireland	CONTRACT
ABS	Transwest Air - Canada	ATHABASKA
ABT	Ambeo - United Kingdom	AMBITION
ABV	Antrak Air - Ghana	ANTRAK
ABW	AirBridge Cargo - Russia	AIRBRIDGE CARGO
ABX	ABX Air - United States	ABEX
ABX	Airborne Express - United States	ABEX
ABY	Air Arabia - United Arab Emirates	ARABIA
ABZ	Air Ambulance Services - Bahamas	ISLAND LIFEFLIGHT
ACA	Air Canada - Canada	AIR CANADA
ACB	African Cargo Services - Kenya	AFRICARGO
ACD	Academy Airlines - United States	ACADEMY
ACF	Centro de Formación Aeronáutica de Canarias - Spain	FORCAN
ACG	Air Partner - United Kingdom	AIR PARTNER
ACH	Air Cargo Plus - Liberia	AIR PLUS
ACI	Air Caledonie International - France	AIRCALIN
ACJ	Avicon - Kenya	AVICHARTER
ACK	Nantucket Airlines - United States	ACK AIR
ACL	Itali Airlines - Italy	SPADA
ACM	Air Caledonia - Canada	WEST CAL
ACN	Central American Airlines - Nicaragua	AEROCENTRO
ACO	Aero Comondu - Mexico	AERO COMONDU
ACP	Astral Aviation - Kenya	ASTRAL CARGO
ACQ	Nuevo Continente - Peru	AERO CONTINENTE
ACR	"Aerocenter, Escuela de Formación de Pilotos Privados de Avión" - Spain	AEROCENTER
ACS	Aircraft Sales and Services - Pakistan	AIRCRAFT SALES
ACT	Flight Line - United States	AMERICAN CHECK
ACU	Air Cargo Transportation System - Kenya	AFRISPIRIT
